x|y|output1_output2_output_n 
13|44|65_35_3_4_5_70_39_42_44_13_14_16_50_28_29_31
13|32|32_16_33_99_4_70_10_13_29_14_31
13|58|16_51_3_99_4_5_70_58_13_29_14_31
13|21|16_99_4_21_22_70_10_13_29_14_31
13|73|65_66_3_68_4_5_69_6_70_7_71_73_10_76_13_14_16_17_27_28_29_30_31_38_44_47_50_60_61
13|34|16_34_50_35_4_70_13_29_14_31
13|47|65_3_35_4_5_70_39_13_45_14_47_16_28_29_61_31
13|25|16_4_70_25_26_13_29_14_31
13|15|16_4_70_13_29_14_31_15
13|55|1_2_4_68_69_70_7_10_13_14_16_20_27_29_31_32_99_44_46_48_50_55_59_60_61
13|18|16_18_19_4_5_70_13_29_14_31
13|22|16_99_4_22_70_23_13_29_14_31
13|76|16_4_68_70_7_76_13_29_14_31
11|13|33_3_4_6_70_7_9_11_12_13_14_16_20_29_61_31
11|16|33_3_4_6_7_9_11_12_76_13_14_16_17_20_28_29_61_31
11|11|33_3_4_6_7_9_11_12_13_14_16_20_29_61_31
11|12|32_33_1_2_3_4_5_6_7_9_11_12_13_14_16_50_20_60_29_61_31
11|19|33_3_4_6_7_9_11_12_13_14_16_19_20_29_61_31
11|29|33_3_4_5_6_38_7_39_9_11_44_12_13_14_16_20_29_61_30_62_31
11|38|1_2_3_68_4_5_6_70_7_9_74_10_11_12_13_14_16_20_29_31_33_35_38_39_46_48_50_61
11|48|1_2_3_4_6_7_9_74_10_11_12_13_14_16_20_21_29_31_33_99_35_38_46_48_50_58_61
11|74|33_66_3_4_6_7_9_74_11_12_13_14_16_17_20_29_61_31
11|26|33_2_35_3_4_68_69_6_38_7_9_10_11_12_13_14_16_50_20_26_27_29_61_31
11|40|33_3_4_5_6_7_40_9_11_12_13_14_16_17_20_29_61_31
11|39|33_35_3_4_68_5_6_38_39_7_9_10_11_12_45_13_14_16_19_20_60_29_61_31
11|71|65_66_3_68_4_5_69_70_6_71_7_9_10_11_12_76_13_14_16_17_20_27_28_29_31_33_35_38_39_50_60_61
11|68|3_68_4_5_69_6_7_9_10_11_12_13_14_16_20_27_28_29_31_33_35_39_45_50_60_61
11|31|32_1_33_3_4_6_7_40_9_11_12_44_13_45_14_48_16_50_20_59_60_29_61_31
11|28|33_34_3_4_5_6_7_9_11_12_76_13_14_16_20_28_29_61_31
11|51|1_3_4_6_7_9_10_11_12_13_14_16_20_29_31_33_34_99_35_39_40_44_45_48_49_50_51_59_60_61
11|20|1_33_99_3_4_6_7_9_11_12_44_13_14_16_50_20_21_22_59_29_61_31
11|65|65_1_2_3_68_4_5_69_6_7_9_10_11_12_13_14_16_20_29_31_33_35_38_44_50_58_59_60_61
11|70|33_3_35_4_70_6_38_7_39_9_10_11_12_13_14_16_20_29_61_62_31
11|66|65_66_2_3_68_4_69_5_6_70_7_9_10_11_12_13_14_16_17_20_27_28_29_31_33_35_39_40_47_50_59_60_61
11|17|33_3_35_68_4_6_7_9_10_11_12_13_14_16_17_18_20_26_29_61_31
11|46|2_3_4_5_69_6_7_8_9_10_11_12_13_14_16_20_27_29_31_33_35_39_44_46_50_59_61
11|62|33_3_4_6_7_9_11_12_13_14_16_20_55_29_61_62_31
11|27|33_3_4_6_7_9_11_12_76_13_14_16_20_27_28_29_61_31
11|37|33_3_35_4_37_5_6_7_9_10_11_12_13_14_16_20_28_29_61_31
11|30|33_66_3_35_4_68_6_7_9_10_11_12_13_14_16_20_29_61_30_31
11|49|33_3_4_6_7_9_11_12_13_14_47_16_49_17_20_29_61_31
11|50|1_33_3_4_6_7_39_9_11_12_44_13_14_48_16_50_20_59_29_61_31
11|69|65_66_3_4_68_69_5_6_70_71_7_8_9_10_11_76_12_13_14_16_17_19_20_28_29_30_31_32_33_35_38_39_44_61
11|44|65_33_35_3_4_5_6_7_39_9_42_11_44_12_13_14_46_16_50_20_28_29_61_31
11|32|32_33_3_99_4_6_7_9_10_11_12_13_14_16_20_29_61_31
11|58|33_3_99_4_5_6_7_39_9_11_12_13_14_16_51_20_21_58_29_61_31
11|21|33_99_3_4_6_7_39_9_10_11_12_13_14_16_20_21_22_29_61_31
11|73|65_66_3_68_4_5_69_6_7_71_73_9_10_11_12_76_13_14_16_17_20_27_28_29_30_31_33_35_38_39_44_47_50_60_61
11|34|33_34_35_3_4_6_7_39_9_11_12_13_14_16_50_20_21_29_61_31
11|47|65_33_3_35_4_5_6_7_39_9_10_11_12_13_45_14_47_16_20_28_29_61_31
11|25|33_3_4_6_7_9_11_12_13_14_16_20_25_26_29_61_31
11|15|33_3_4_6_7_9_11_12_13_14_15_16_20_29_61_31
